,company,time,username,,sentiment,date
0,TCS,9:15,TechVisorNL,,0,4/16/2018
0,TCS,9:31,shatakshi347,,0,4/16/2018
0,TCS,10:22,sharebossindia,,0,4/16/2018
0,TCS,10:25,sharebossindia,,0,4/16/2018
0,TCS,10:32,PDevComms,,0.4767,4/16/2018
0,TCS,10:40,nitinmantri,,0.8481,4/16/2018
0,TCS,10:40,FlaviOliveiraBR,,0.7184,4/16/2018
0,TCS,10:46,LouiseNealon,,0,4/16/2018
0,TCS,10:51,newsvoir,,0,4/16/2018
0,TCS,10:53,ashishb24,,0.8481,4/16/2018
0,TCS,10:53,ashishb24,,0,4/16/2018
0,TCS,10:57,kushkatakia,,0.4767,4/16/2018
0,TCS,11:01,mannmaujikol,,0.4767,4/16/2018
0,TCS,11:05,ashishb24,,0.7184,4/16/2018
0,TCS,11:12,ProjectWELCOME,,0.4404,4/16/2018
0,TCS,11:16,saidinsin,,-0.34,4/16/2018
0,TCS,11:26,chirag_nisha,,0.4767,4/16/2018
0,TCS,11:34,ShelleyFacius,,0,4/16/2018
0,TCS,11:37,gunasekarandgm,,0.4767,4/16/2018
0,TCS,11:38,WorldCommForum,,0,4/16/2018
0,TCS,11:38,WorldCommForum,,0.7184,4/16/2018
0,TCS,11:38,WorldCommForum,,0.8481,4/16/2018
0,TCS,11:45,delatorretcs,,0.3907,4/16/2018
0,TCS,12:12,MaryDono9201,,0.1779,4/16/2018
0,TCS,12:15,SergePerignon,,0,4/16/2018
0,TCS,12:17,SergePerignon,,0.5859,4/16/2018
0,TCS,12:19,kingstonjr,,0.5859,4/16/2018
0,TCS,12:25,basantwadhwa,,0,4/16/2018
0,TCS,12:27,ReshmaRC,,0,4/16/2018
0,TCS,12:34,monsieursoupier,,0,4/16/2018
0,TCS,12:39,SharadNBansal1,,0,4/16/2018
0,TCS,12:40,Stanislava_VN,,0,4/16/2018
0,TCS,12:43,SharadNBansal1,,0,4/16/2018
0,TCS,1:05,TCS_SAP,,0,4/16/2018
0,TCS,1:11,sharebossindia,,0,4/16/2018
0,TCS,1:16,stockjumper,,0.4215,4/16/2018
0,TCS,1:33,BanerjiSougata,,0,4/16/2018
0,TCS,1:57,financialbuzz,,0.4767,4/16/2018
0,TCS,2:00,2018Business,,0.4767,4/16/2018
0,TCS,2:15,Firstoinvest,,0.4767,4/16/2018
0,TCS,2:15,MVNOXchange,,0.2716,4/15/2018
0,TCS,2:22,opineENERGY,,0.4767,4/15/2018
0,TCS,2:22,Flanaganlyfe,,0.4767,4/15/2018
0,TCS,2:25,prady_b2b,,0.4767,4/15/2018
0,TCS,2:47,opineENERGY,,0.4767,4/15/2018
0,TCS,3:44,YvesLaurent1246,,0.4767,4/15/2018
0,TCS,3:58,jobs_uk_,,0,4/15/2018
0,TCS,4:06,shareduniaindia,,0.4767,4/15/2018
0,TCS,4:41,haroric,,0.4767,4/15/2018
0,TCS,4:53,Cloud_Career,,0,4/15/2018
0,TCS,5:04,IrshadAhamedN,,0.1779,4/15/2018
0,TCS,5:31,mamta_shah,,0,4/15/2018
0,TCS,5:34,maheshkumawat23,,0.1779,4/15/2018
0,TCS,5:35,NHInsight,,0,4/15/2018
0,TCS,5:36,loker_JKT48,,0,4/15/2018
0,TCS,5:36,karejob,,0,4/15/2018
0,TCS,5:43,Hsharshadsharma,,0.739,4/15/2018
0,TCS,6:18,Irish_TechNews,,0.4767,4/15/2018
0,TCS,6:30,lani_scozzari,,-0.4003,4/15/2018
0,TCS,6:30,MyKindaFuture,,-0.25,4/15/2018
0,TCS,6:30,brightfuturesNT,,-0.25,4/15/2018
0,TCS,6:33,FlavinBarry,,0.4767,4/15/2018
0,TCS,6:33,armstrj2,,0.4767,4/15/2018
0,TCS,6:33,Hdelleman,,0,4/15/2018
0,TCS,7:30,MyKindaFuture,,0.3182,4/15/2018
0,TCS,7:30,brightfuturesNT,,0.3182,4/15/2018
0,TCS,8:33,ashishb24,,0.8402,4/15/2018
0,TCS,8:43,TheWebCentreIRL,,0,4/15/2018
0,TCS,8:48,AI_Today,,0.6908,4/15/2018
0,TCS,9:23,maxversace,,0.4767,4/15/2018
0,TCS,9:24,Hi_Im_Rover,,0.4767,4/15/2018
0,TCS,10:04,skinnyanand,,0,4/15/2018
0,TCS,10:21,aliinmum,,0,4/15/2018
0,TCS,10:30,nyrr,,0.5562,4/15/2018
0,TCS,10:30,SeanGus3,,0.5562,4/15/2018
0,TCS,10:57,naveenroy,,-0.2401,4/15/2018
0,TCS,10:58,LAdourian,,0.5562,4/15/2018
0,TCS,11:10,hirisens,,0.6249,4/15/2018
0,TCS,11:59,StoupasTeresa,,0.1779,4/15/2018
0,TCS,12:00,EconomicTimes,,0,4/15/2018
0,TCS,12:04,chikilla_regia,,0.6688,4/15/2018
