,company,date,time,username,,sentiment
0,HERO,4/15/2018,8:17,Rishabhgupta184,,0.4927
0,HERO,4/15/2018,7:11,mimakshi0000,,0.6908
0,HERO,4/15/2018,7:09,OptionsTip,,0.6908
0,HERO,4/15/2018,7:08,nksky,,0.2732
0,HERO,4/15/2018,7:08,nksky,,0.594
0,HERO,4/15/2018,7:07,SirishChandran,,0.8126
0,HERO,4/15/2018,6:54,anuandrews,,0.594
0,HERO,4/15/2018,6:48,rishadcooper,,0.6908
0,HERO,4/15/2018,6:40,SAM80DEV,,0.6908
0,HERO,4/15/2018,6:36,theindianawaaz,,0.6908
0,HERO,4/15/2018,6:33,Fabrici53205184,,0.594
0,HERO,4/15/2018,6:32,sayan_dusk,,0.594
0,HERO,4/15/2018,6:15,fni,,0.594
0,HERO,4/15/2018,6:07,nayanagrawal,,0.5574
0,HERO,4/15/2018,6:04,nayanagrawal,,0.6908
0,HERO,4/15/2018,5:49,DrShriniket,,0.5574
0,HERO,4/15/2018,5:49,DrShriniket,,0.6908
0,HERO,4/15/2018,5:25,abhipd,,0.6908
0,HERO,4/15/2018,5:17,MrSaboteur,,0.6908
0,HERO,4/15/2018,4:53,GettingZinked,,0.6908
0,HERO,4/15/2018,4:48,SportOnLive,,0.5574
0,HERO,4/15/2018,4:48,newsinvideos,,0.5574
0,HERO,4/15/2018,4:46,vinaysubramanya,,0.6908
0,HERO,4/15/2018,4:42,indraneelghosh1,,0.7531
0,HERO,4/15/2018,4:41,maazy12,,0.594
0,HERO,4/15/2018,4:32,poisoned_heart,,0.6908
0,HERO,4/15/2018,4:28,dhanraj_sawanth,,0.594
0,HERO,4/15/2018,4:24,bharatendukabi,,0.6908
0,HERO,4/15/2018,4:22,bharatendukabi,,0.6908
0,HERO,4/15/2018,4:18,TSCAsia,,0.2732
0,HERO,4/15/2018,4:13,Prabh76549,,0.594
0,HERO,4/15/2018,4:13,myscribblings,,0.8126
0,HERO,4/15/2018,4:13,evoIndia,,0.8126
0,HERO,4/15/2018,4:13,myscribblings,,0.5574
0,HERO,4/15/2018,4:13,evoIndia,,0.5574
0,HERO,4/15/2018,4:11,beingexplorer,,0.6908
0,HERO,4/15/2018,4:08,Motoroids_India,,0.2732
0,HERO,4/15/2018,4:08,SuvilSusvirkar,,0.2732
0,HERO,4/15/2018,4:08,Motoroids_India,,0.2732
0,HERO,4/15/2018,4:08,amitchhangani,,0.2732
0,HERO,4/15/2018,4:06,Elevenseur,,0.6908
0,HERO,4/15/2018,4:01,sanddotman,,0.594
0,HERO,4/15/2018,4:00,jais_george,,0.6908
0,HERO,4/15/2018,4:00,PrashantaGuha,,0.6908
0,HERO,4/15/2018,4:00,vivekmohan81,,0.594
0,HERO,4/15/2018,3:56,sarveshdessai,,0.594
0,HERO,4/15/2018,3:55,pratapvivek9211,,0.594
0,HERO,4/15/2018,3:54,JavierCeppi,,0.594
0,HERO,4/15/2018,3:51,stockmarketpuls,,0.6908
0,HERO,4/15/2018,3:49,somit09,,0.2732
0,HERO,4/15/2018,3:49,thesportsmirror,,0.6908
0,HERO,4/15/2018,3:39,t_hisashi,,0.594
0,HERO,4/15/2018,3:38,thesportscaffe,,0
0,HERO,4/15/2018,3:37,DDSez,,0.2732
0,HERO,4/15/2018,3:35,greymind43,,0.2732
0,HERO,4/15/2018,3:34,IndianFootball,,0.2732
0,HERO,4/15/2018,3:30,NewsBossIndia,,0.6908
0,HERO,4/15/2018,3:27,TenNewsDotIn,,0.5574
0,HERO,4/15/2018,3:27,ten_news_dot_in,,0.5574
0,HERO,4/15/2018,3:26,shreya0808,,0.594
0,HERO,4/15/2018,3:19,casinos_gamb,,0.6908
0,HERO,4/15/2018,3:17,ithinkmad,,0.6908
0,HERO,4/15/2018,3:16,FIFA24x7,,0.6908
0,HERO,4/15/2018,3:15,TenNewsDotIn,,0.6908
0,HERO,4/15/2018,3:08,sanjayjorapur,,0.6908
0,HERO,4/15/2018,3:05,mw569256,,0.6908
0,HERO,4/15/2018,3:01,VikramKamboj,,0.6908
0,HERO,4/15/2018,3:01,user0055,,0.594
0,HERO,4/15/2018,3:00,thesportsmirror,,0.6908
0,HERO,4/15/2018,2:51,cmsha99,,0.6908
0,HERO,4/15/2018,2:50,VikramKamboj,,0.6908
0,HERO,4/15/2018,2:49,suhasfranky1,,0.6908
0,HERO,4/15/2018,2:47,thesportsmirror,,0.6908
0,HERO,4/15/2018,2:34,thesportsmirror,,0.6908
0,HERO,4/15/2018,2:30,charka_,,0.6908
0,HERO,4/15/2018,2:30,bsindia,,0.6908
0,HERO,4/15/2018,2:27,sudhirmenon21,,0.2732
0,HERO,4/15/2018,2:25,3NovicesChennai,,0.8519
0,HERO,4/15/2018,2:17,suhasfranky1,,0.6908
0,HERO,4/15/2018,2:16,brightmensahgh,,0.594
0,HERO,4/15/2018,2:15,jayasankariz,,0.2732
0,HERO,4/15/2018,2:15,TenNewsDotIn,,0.5574
0,HERO,4/15/2018,2:01,WCupJournal,,0.6908
