,close_score,date,open_score
0,0.0,3/24/2018,0.07411820652173899
0,-0.0024500000000000108,3/25/2018,0.10368785714285708
0,0.1513032786885246,3/26/1618,-0.046855859375000065
0,0.18660302013422836,3/26/2018,0.13155187165775398
0,0.19848602484472014,3/27/2018,0.14798444816053474
0,0.09828361204013383,4/12/2018,0.09591902071563076
0,0.045655,4/13/2018,0.07264710526315793
0,0.0686823529411765,4/14/2018,0.0786784194528876
0,0.17692666666666668,4/15/2018,0.023018918918918923
0,0.20916219512195122,4/16/2018,-0.013742922374429216
0,0.19218169014084505,4/17/2018,0.09131890243902427
